"name","parent","size","download_link"
"Syria","Asia","69 MB","https://download.geofabrik.de/asia/syria-latest.osm.pbf"
"Taiwan","Asia","290 MB","https://download.geofabrik.de/asia/taiwan-latest.osm.pbf"
"Tajikistan","Asia","44.9 MB","https://download.geofabrik.de/asia/tajikistan-latest.osm.pbf"
"Thailand","Asia","292 MB","https://download.geofabrik.de/asia/thailand-latest.osm.pbf"
"Turkmenistan","Asia","20.8 MB","https://download.geofabrik.de/asia/turkmenistan-latest.osm.pbf"
"Uzbekistan","Asia","94 MB","https://download.geofabrik.de/asia/uzbekistan-latest.osm.pbf"
"Vietnam","Asia","301 MB","https://download.geofabrik.de/asia/vietnam-latest.osm.pbf"
"Yemen","Asia","40.3 MB","https://download.geofabrik.de/asia/yemen-latest.osm.pbf"
"Australia and Oceania","root","1.4 GB","https://download.geofabrik.de/australia-oceania-latest.osm.pbf"
"American Oceania","Australia and Oceania","5.0 MB","https://download.geofabrik.de/australia-oceania/american-oceania-latest.osm.pbf"
"Australia","Australia and Oceania","858 MB","https://download.geofabrik.de/australia-oceania/australia-latest.osm.pbf"
"Cook Islands","Australia and Oceania","908 KB","https://download.geofabrik.de/australia-oceania/cook-islands-latest.osm.pbf"
"Fiji","Australia and Oceania","16.2 MB","https://download.geofabrik.de/australia-oceania/fiji-latest.osm.pbf"
"Ãle de Clipperton","Australia and Oceania","40.7 KB","https://download.geofabrik.de/australia-oceania/ile-de-clipperton-latest.osm.pbf"
"Kiribati","Australia and Oceania","2.3 MB","https://download.geofabrik.de/australia-oceania/kiribati-latest.osm.pbf"
"Marshall Islands","Australia and Oceania","1.0 MB","https://download.geofabrik.de/australia-oceania/marshall-islands-latest.osm.pbf"
"Micronesia","Australia and Oceania","1.8 MB","https://download.geofabrik.de/australia-oceania/micronesia-latest.osm.pbf"
"Nauru","Australia and Oceania","254 KB","https://download.geofabrik.de/australia-oceania/nauru-latest.osm.pbf"
"New Caledonia","Australia and Oceania","12.8 MB","https://download.geofabrik.de/australia-oceania/new-caledonia-latest.osm.pbf"
"New Zealand","Australia and Oceania","366 MB","https://download.geofabrik.de/australia-oceania/new-zealand-latest.osm.pbf"
"Niue","Australia and Oceania","405 KB","https://download.geofabrik.de/australia-oceania/niue-latest.osm.pbf"
"Palau","Australia and Oceania","794 KB","https://download.geofabrik.de/australia-oceania/palau-latest.osm.pbf"
"Papua New Guinea","Australia and Oceania","48.9 MB","https://download.geofabrik.de/australia-oceania/papua-new-guinea-latest.osm.pbf"
"Pitcairn Islands","Australia and Oceania","107 KB","https://download.geofabrik.de/australia-oceania/pitcairn-islands-latest.osm.pbf"
"PolynÃ©sie franÃ§aise (French Polynesia)","Australia and Oceania","14.1 MB","https://download.geofabrik.de/australia-oceania/polynesie-francaise-latest.osm.pbf"
"Samoa","Australia and Oceania","3.0 MB","https://download.geofabrik.de/australia-oceania/samoa-latest.osm.pbf"
"Solomon Islands","Australia and Oceania","9.8 MB","https://download.geofabrik.de/australia-oceania/solomon-islands-latest.osm.pbf"
"Tokelau","Australia and Oceania","134 KB","https://download.geofabrik.de/australia-oceania/tokelau-latest.osm.pbf"
"Tonga","Australia and Oceania","3.5 MB","https://download.geofabrik.de/australia-oceania/tonga-latest.osm.pbf"
"Tuvalu","Australia and Oceania","340 KB","https://download.geofabrik.de/australia-oceania/tuvalu-latest.osm.pbf"
"Vanuatu","Australia and Oceania","7.5 MB","https://download.geofabrik.de/australia-oceania/vanuatu-latest.osm.pbf"
"Wallis et Futuna","Australia and Oceania","594 KB","https://download.geofabrik.de/australia-oceania/wallis-et-futuna-latest.osm.pbf"
"Central America","root","718 MB","https://download.geofabrik.de/central-america-latest.osm.pbf"
"Bahamas","Central America","13.0 MB","https://download.geofabrik.de/central-america/bahamas-latest.osm.pbf"
"Belize","Central America","17.2 MB","https://download.geofabrik.de/central-america/belize-latest.osm.pbf"
"Costa Rica","Central America","35.7 MB","https://download.geofabrik.de/central-america/costa-rica-latest.osm.pbf"
"Cuba","Central America","54 MB","https://download.geofabrik.de/central-america/cuba-latest.osm.pbf"
"El Salvador","Central America","32.7 MB","https://download.geofabrik.de/central-america/el-salvador-latest.osm.pbf"
"Guatemala","Central America","122 MB","https://download.geofabrik.de/central-america/guatemala-latest.osm.pbf"
"Haiti and Dominican Republic","Central America","82 MB","https://download.geofabrik.de/central-america/haiti-and-domrep-latest.osm.pbf"
"Honduras","Central America","67 MB","https://download.geofabrik.de/central-america/honduras-latest.osm.pbf"
"Jamaica","Central America","35.4 MB","https://download.geofabrik.de/central-america/jamaica-latest.osm.pbf"
"Nicaragua","Central America","55 MB","https://download.geofabrik.de/central-america/nicaragua-latest.osm.pbf"
"Panama","Central America","29.4 MB","https://download.geofabrik.de/central-america/panama-latest.osm.pbf"
"Europe","root","31.0 GB","https://download.geofabrik.de/europe-latest.osm.pbf"
"Albania","Europe","48.8 MB","https://download.geofabrik.de/europe/albania-latest.osm.pbf"
"Andorra","Europe","3.2 MB","https://download.geofabrik.de/europe/andorra-latest.osm.pbf"
"Austria","Europe","749 MB","https://download.geofabrik.de/europe/austria-latest.osm.pbf"
"Azores","Europe","16.3 MB","https://download.geofabrik.de/europe/azores-latest.osm.pbf"
"Belarus","Europe","317 MB","https://download.geofabrik.de/europe/belarus-latest.osm.pbf"
"Belgium","Europe","636 MB","https://download.geofabrik.de/europe/belgium-latest.osm.pbf"
"Bosnia-Herzegovina","Europe","146 MB","https://download.geofabrik.de/europe/bosnia-herzegovina-latest.osm.pbf"
"Bulgaria","Europe","151 MB","https://download.geofabrik.de/europe/bulgaria-latest.osm.pbf"
"Croatia","Europe","181 MB","https://download.geofabrik.de/europe/croatia-latest.osm.pbf"
"Cyprus","Europe","33.2 MB","https://download.geofabrik.de/europe/cyprus-latest.osm.pbf"
"Czech Republic","Europe","865 MB","https://download.geofabrik.de/europe/czech-republic-latest.osm.pbf"
"Denmark","Europe","453 MB","https://download.geofabrik.de/europe/denmark-latest.osm.pbf"
"Estonia","Europe","112 MB","https://download.geofabrik.de/europe/estonia-latest.osm.pbf"
"Faroe Islands","Europe","7.3 MB","https://download.geofabrik.de/europe/faroe-islands-latest.osm.pbf"
"Finland","Europe","660 MB","https://download.geofabrik.de/europe/finland-latest.osm.pbf"
"France","Europe","4.6 GB","https://download.geofabrik.de/europe/france-latest.osm.pbf"
"Alsace","France","121 MB","https://download.geofabrik.de/europe/france/alsace-latest.osm.pbf"
"Aquitaine","France","273 MB","https://download.geofabrik.de/europe/france/aquitaine-latest.osm.pbf"
"Auvergne","France","137 MB","https://download.geofabrik.de/europe/france/auvergne-latest.osm.pbf"
"Basse-Normandie","France","132 MB","https://download.geofabrik.de/europe/france/basse-normandie-latest.osm.pbf"
"Bourgogne","France","182 MB","https://download.geofabrik.de/europe/france/bourgogne-latest.osm.pbf"
"Bretagne","France","303 MB","https://download.geofabrik.de/europe/france/bretagne-latest.osm.pbf"
"Centre","France","221 MB","https://download.geofabrik.de/europe/france/centre-latest.osm.pbf"
"Champagne Ardenne","France","97 MB","https://download.geofabrik.de/europe/france/champagne-ardenne-latest.osm.pbf"
"Corse","France","31.9 MB","https://download.geofabrik.de/europe/france/corse-latest.osm.pbf"
"Franche Comte","France","114 MB","https://download.geofabrik.de/europe/france/franche-comte-latest.osm.pbf"
"Guadeloupe","France","22.3 MB","https://download.geofabrik.de/europe/france/guadeloupe-latest.osm.pbf"
"Guyane","France","13.4 MB","https://download.geofabrik.de/europe/france/guyane-latest.osm.pbf"
"Haute-Normandie","France","98 MB","https://download.geofabrik.de/europe/france/haute-normandie-latest.osm.pbf"
"Ile-de-France","France","310 MB","https://download.geofabrik.de/europe/france/ile-de-france-latest.osm.pbf"
"Languedoc-Roussillon","France","246 MB","https://download.geofabrik.de/europe/france/languedoc-roussillon-latest.osm.pbf"
"Limousin","France","91 MB","https://download.geofabrik.de/europe/france/limousin-latest.osm.pbf"
"Lorraine","France","158 MB","https://download.geofabrik.de/europe/france/lorraine-latest.osm.pbf"
"Martinique","France","18.7 MB","https://download.geofabrik.de/europe/france/martinique-latest.osm.pbf"
"Mayotte","France","10.1 MB","https://download.geofabrik.de/europe/france/mayotte-latest.osm.pbf"
"Midi-Pyrenees","France","329 MB","https://download.geofabrik.de/europe/france/midi-pyrenees-latest.osm.pbf"
"Nord-Pas-de-Calais","France","219 MB","https://download.geofabrik.de/europe/france/nord-pas-de-calais-latest.osm.pbf"
"Pays de la Loire","France","342 MB","https://download.geofabrik.de/europe/france/pays-de-la-loire-latest.osm.pbf"
"Picardie","France","124 MB","https://download.geofabrik.de/europe/france/picardie-latest.osm.pbf"
"Poitou-Charentes","France","213 MB","https://download.geofabrik.de/europe/france/poitou-charentes-latest.osm.pbf"
"Provence Alpes-Cote-d'Azur","France","356 MB","https://download.geofabrik.de/europe/france/provence-alpes-cote-d-azur-latest.osm.pbf"
"Reunion","France","31.8 MB","https://download.geofabrik.de/europe/france/reunion-latest.osm.pbf"
"Rhone-Alpes","France","481 MB","https://download.geofabrik.de/europe/france/rhone-alpes-latest.osm.pbf"
"Georgia","Europe","91 MB","https://download.geofabrik.de/europe/georgia-latest.osm.pbf"
"Germany","Europe","4.3 GB","https://download.geofabrik.de/europe/germany-latest.osm.pbf"
"Baden-WÃ¼rttemberg","Germany","593 MB","https://download.geofabrik.de/europe/germany/baden-wuerttemberg-latest.osm.pbf"
"Bayern","Germany","782 MB","https://download.geofabrik.de/europe/germany/bayern-latest.osm.pbf"
"Berlin","Germany","90 MB","https://download.geofabrik.de/europe/germany/berlin-latest.osm.pbf"
"Brandenburg (mit Berlin)","Germany","274 MB","https://download.geofabrik.de/europe/germany/brandenburg-latest.osm.pbf"
"Bremen","Germany","19.8 MB","https://download.geofabrik.de/europe/germany/bremen-latest.osm.pbf"
"Hamburg","Germany","49.6 MB","https://download.geofabrik.de/europe/germany/hamburg-latest.osm.pbf"
"Hessen","Germany","313 MB","https://download.geofabrik.de/europe/germany/hessen-latest.osm.pbf"
"Mecklenburg-Vorpommern","Germany","117 MB","https://download.geofabrik.de/europe/germany/mecklenburg-vorpommern-latest.osm.pbf"
"Niedersachsen (mit Bremen)","Germany","448 MB","https://download.geofabrik.de/europe/germany/niedersachsen-latest.osm.pbf"
"Nordrhein-Westfalen","Germany","845 MB","https://download.geofabrik.de/europe/germany/nordrhein-westfalen-latest.osm.pbf"
"Rheinland-Pfalz","Germany","234 MB","https://download.geofabrik.de/europe/germany/rheinland-pfalz-latest.osm.pbf"
"Saarland","Germany","50 MB","https://download.geofabrik.de/europe/germany/saarland-latest.osm.pbf"
"Sachsen","Germany","244 MB","https://download.geofabrik.de/europe/germany/sachsen-latest.osm.pbf"
"Sachsen-Anhalt","Germany","157 MB","https://download.geofabrik.de/europe/germany/sachsen-anhalt-latest.osm.pbf"
"Schleswig-Holstein","Germany","146 MB","https://download.geofabrik.de/europe/germany/schleswig-holstein-latest.osm.pbf"
"ThÃ¼ringen","Germany","147 MB","https://download.geofabrik.de/europe/germany/thueringen-latest.osm.pbf"
"Greece","Europe","313 MB","https://download.geofabrik.de/europe/greece-latest.osm.pbf"
"Guernsey and Jersey","Europe","3.7 MB","https://download.geofabrik.de/europe/guernsey-jersey-latest.osm.pbf"
"Hungary","Europe","287 MB","https://download.geofabrik.de/europe/hungary-latest.osm.pbf"
"Iceland","Europe","60 MB","https://download.geofabrik.de/europe/iceland-latest.osm.pbf"
"Ireland and Northern Ireland","Europe","362 MB","https://download.geofabrik.de/europe/ireland-and-northern-ireland-latest.osm.pbf"
"Isle of Man","Europe","5.2 MB","https://download.geofabrik.de/europe/isle-of-man-latest.osm.pbf"
"Italy","Europe","2.0 GB","https://download.geofabrik.de/europe/italy-latest.osm.pbf"
"Centro","Italy","349 MB","https://download.geofabrik.de/europe/italy/centro-latest.osm.pbf"
"Isole","Italy","197 MB","https://download.geofabrik.de/europe/italy/isole-latest.osm.pbf"
"Nord-Est","Italy","569 MB","https://download.geofabrik.de/europe/italy/nord-est-latest.osm.pbf"
"Nord-Ovest","Italy","535 MB","https://download.geofabrik.de/europe/italy/nord-ovest-latest.osm.pbf"
"Sud","Italy","369 MB","https://download.geofabrik.de/europe/italy/sud-latest.osm.pbf"
"Kosovo","Europe","28.7 MB","https://download.geofabrik.de/europe/kosovo-latest.osm.pbf"
"Latvia","Europe","127 MB","https://download.geofabrik.de/europe/latvia-latest.osm.pbf"
"Liechtenstein","Europe","3.1 MB","https://download.geofabrik.de/europe/liechtenstein-latest.osm.pbf"
"Lithuania","Europe","205 MB","https://download.geofabrik.de/europe/lithuania-latest.osm.pbf"
